symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
BBD-A.to, 0.0, 0.0, 0.0, -0.1, 39.5, 10745.599999999999, -189.0, 573.0, 1.37, 0.0, 16759.0, 2336.0, 2336.0, 0.0, 39.5, 124.87, USD, 5.32739697060588, -0.015352939412117577, None, 4.6, None
BBL-A.to, 0.21, 0.0, 0.0, 1.0, 13.43, 93.5, 11.0, 21.0, 0.0, 7.09, 163.0, 11.0, 11.0, 0.78, 14.209999999999999, 34.51, CAD, 8.189427714457109, 0.0005714457108578297, None, 8.5, None
BBU-UN.to, 3.03, 0.19, 0.0035487485991781845, -1.52, 37.01, 6585.42, -82.0, 919.0, 0.0, -6.05, 32988.0, 123.0, 123.0, 5.01, 42.019999999999996, 100.0, USD, 53.890327054589086, -0.06749454109178163, None, 53.54, None
BCB.to, 1.01, 0.24, 0.011434016198189614, 3.05, 39.93, 2959.5899999999997, 432.0, 83.0, 0.0, 41.91, 2316.0, 141.0, 141.0, 0.22, 40.15, 60.48, USD, 22.020889322135574, -0.03216778644271146, None, 20.99, None
BCE.to, 1.12, 2.94, 0.05422353375138325, 3.05, 32.66, 48798.0, 2880.0, 5350.0, 0.0, 17.62, 23071.0, 900.0, 900.0, 10.19, 42.849999999999994, 63.72, CAD, 54.46821913617278, -0.0023863827234553024, None, 54.22, None
BCI.to, 1.08, 0.6, 0.017391304347826087, 0.83, 37.58, 517.5, 12.0, 25.0, 0.0, 12.42, 270.0, 15.0, 15.0, 6.88, 44.46, 65.22, CAD, 34.31521157768446, -0.007742231553689257, None, 34.5, None
BDI.to, 0.38, 0.03, 0.00847457627118644, -1.6, 21.65, 194.7, -85.0, -8.0, 0.0, -31.49, 162.0, 55.0, 55.0, 0.0, 21.65, 42.94, CAD, 4.029823875224954, -0.016612477504499106, None, 3.54, None
BDT.to, 0.19, 0.39, 0.0486284289276808, -0.03, 3.74, 344.85999999999996, -1.0, -2.0, 0.0, -0.75, 1369.0, 43.0, 43.0, 12.03, 15.77, 80.2, CAD, 7.348631673665263, 0.010567366526694657, None, 8.02, None
BEI-UN.to, 0.78, 1.52, 0.029219530949634753, 1.97, 39.93, 2548.98, 103.0, 179.0, 0.0, 3.35, 427.0, 49.0, 49.0, 4.19, 44.12, 48.89, CAD, 47.464843251349734, -0.025774865026994612, None, 52.02, None
BEK-B.to, 0.0, 0.8, 0.05536332179930797, 1.35, 0.0, 28.9, 2.0, 2.0, 0.0, 7.31, 3.0, 2.0, 2.0, 0.0, 0.0, 12.67, CAD, 14.296627414517083, 0.007641451709658061, None, 14.45, None
BHC.to, 7.17, 0.0, 0.0, -4.69, 72.35, 10260.8, -1640.0, 263.0, 4.21, -44.34, 8505.0, 352.0, 352.0, 0.67, 73.02, 89.91, USD, 33.03368704259148, -0.1081957408518296, None, 29.15, None
BIG-D.to, 0.0, 0.17, 0.009714285714285715, 2.65, 0.0, 17.5, 3.0, 0.0, 0.0, 14.82, 3.0, 1.0, 1.0, 0.0, 0.0, 35.4, CAD, 17.726051109778048, -0.012889022195560887, None, 17.5, None
BIR.to, 0.37, 0.1, 0.02079002079002079, -0.28, 22.74, 1279.4599999999998, -72.0, 123.0, 0.0, -4.47, 588.0, 266.0, 266.0, 0.0, 22.74, 37.13, CAD, 5.1496936412717425, -0.010935872825434914, None, 4.81, None
BK.to, 0.0, 1.2, 0.09374999999999999, 1.89, 0.0, 140.8, 20.0, 0.0, 0.0, 13.21, 22.0, 11.0, 11.0, 0.0, 0.0, 46.88, CAD, 12.392817216556686, 0.006821655668866227, None, 12.8, None
BKI.to, 0.0, 0.0, 0.0, 0.0, 0.0, 14.399999999999999, -3.0, -3.0, 0.0, -78.42, 0.0, 160.0, 160.0, 0.0, 0.0, 8.53, USD, 0.09562765446910611, 6.54469106178763e-05, None, 0.09, None
BKX.to, 0.25, 0.0, 0.0, -0.03, 18.53, 95.53, -4.0, 4.0, 0.0, -3.25, 20.0, 233.0, 233.0, 0.0, 18.53, 25.2, USD, 0.4245867426514699, 0.002374265146970607, None, 0.41, None
BLDP.to, 0.05, 0.0, 0.0, -0.09, 0.0, 719.5799999999999, -14.0, -10.0, 23.04, -11.79, 119.0, 179.0, 179.0, 0.0, 0.0, 31.48, USD, 3.77006952609478, 0.005252609478104381, None, 4.02, None
BLU.to, 0.0, 0.0, 0.0, -0.08, 0.0, 82.56, -7.0, -7.0, 0.0, -39.29, 0.0, 96.0, 96.0, 0.0, 0.0, 4.4, CAD, 0.6442842231553689, -0.001777684463107378, None, 0.86, None
BLX.to, 4.33, 0.61, 0.03225806451612903, 0.01, 67.04, 1437.16, 1.0, 89.0, 4.39, 0.15, 456.0, 76.0, 76.0, 7.22, 74.26, 84.52, CAD, 19.3841451109778, 0.03881109778044391, None, 18.91, None
BMO.to, 0.14, 3.66, 0.0345380768141927, 7.15, 0.76, 68880.5, 4833.0, 0.0, 0.0, 11.6, 22219.0, 650.0, 650.0, 0.0, 0.76, 94.12, CAD, 105.46931259748052, -0.0942402519496101, None, 105.97, None
BNE.to, 0.6, 1.2, 0.06349206349206349, 0.35, 26.44, 623.6999999999999, 11.0, 40.0, 0.0, 2.2, 211.0, 33.0, 33.0, 0.87, 27.310000000000002, 56.08, CAD, 19.00259124175165, -0.04747582483503298, None, 18.9, None
BNG.to, 0.57, 0.0, 0.0, -0.12, 30.94, 10.200000000000001, -12.0, 2.0, 0.0, -38.96, 10.0, 102.0, 102.0, 4.23, 35.17, 45.55, CAD, 0.12058620275944812, 0.000220275944811038, None, 0.1, None
BNP.to, 0.54, 0.04, 0.027586206896551727, -0.83, 28.0, 382.8, -212.0, -374.0, 0.0, -13.32, 342.0, 264.0, 264.0, 0.0, 28.0, 48.42, CAD, 1.5395305938812238, -0.0010406118776244745, None, 1.45, None
BNS.to, 0.1, 3.16, 0.04067447547946969, 6.86, 0.61, 94548.73, 8446.0, 0.0, 0.0, 14.76, 27378.0, 1217.0, 1217.0, 0.0, 0.61, 93.35, CAD, 75.87755698860228, 0.026598860227954404, None, 77.69, None
BOS.to, 0.5, 0.22, 0.017027863777089782, 0.53, 26.4, 297.16, 12.0, 17.0, 0.7, 10.6, 308.0, 23.0, 23.0, 2.49, 28.89, 47.54, USD, 15.043295980803846, -0.016001919616076776, None, 12.92, None
BOY.to, 0.0, 0.0, 0.0, 0.2, 0.0, 14.0, 6.0, 14.0, 0.0, 5.28, 289.0, 35.0, 35.0, 38.42, 38.42, 54.56, USD, 0.38552405518896243, 0.0010055188962207564, None, 0.4, None
BPF-UN.to, 0.29, 1.38, 0.07582417582417582, 1.16, 19.95, 436.79999999999995, 27.0, 43.0, 0.0, 9.69, 45.0, 24.0, 24.0, 0.0, 19.95, 32.0, CAD, 18.83171319736052, 0.017419736052789448, None, 18.2, None
